"IdConexao","NomeCliente","Site","UrlSite","WebServicePagamentoBPag","DominioPagamentoBPag"
132,"Napsao-webstore31","134.25.68",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
133,"VIPTerremarkCarrinho","209.161.70",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
134,"VIPTerremarkCatalogo","209.161.68",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
135,"WalMartSite25.23","134.25.23",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
136,"WalMartSite25.24","134.25.24",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
137,"WalMartSite25.28","134.25.28",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
138,"WalMartSite25.29","134.25.29",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
139,"WalMartSite25.2'6","134.25.26",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
140,"naosao-win-car32","134.32.200",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
141,"naosao-win-car33","134.32.201",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
142,"naosao-win-car34","134.32.202",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
143,"naosao-win-car35","134.32.203",,"http://gwpg-proxyloja.vmcommerce.intra/proxy/WebObjects/proxy.woa/ws/ProxyWebservice","http://gwpg-proxyloja.vmcommerce.intra"
